Estrellas,HIP,dist (Eric),dist (ANEXO)
α Andromedae (Alpheratz o Sirrah),667,29.7619,29.754601226993866
β Ceti (Deneb Kaitos o Diphda),3419,29.37720329024677,29.447852760736197
Estrella de Van Maanen,3829,4.406256884776382,4.325153374233129
β Andromedae (Mirach),5447,61.124694376528026,61.04294478527608
α Eridani (Achernar),7588,44.0917107583774,44.171779141104295
α Arietis (Hamal),9884,20.210185933710576,20.245398773006137
ο Ceti (Mira),10826,128.369704749679,128.22085889570553
α Ursae Minoris (Polaris),11767,132.2751322751322,132.2085889570552
α Persei (Mirfak o Algenib),15863,181.48820326678745,180.98159509202455
α Tauri (Aldebarán),21421,19.964064683569568,19.969325153374232
Estrella de Kapteyn,24186,3.9175742380318113,3.92638036809816
β Orionis (Rigel),24436,236.96682464454952,263.8036809815951
α Aurigae (Capella),24608,12.938284383490744,12.944785276073622
γ Orionis (Bellatrix),25336,74.51564828614008,73.61963190184049
β Tauri (Elnath),25428,40.17677782241862,40.1840490797546
δ Orionis (Mintaka),25930,280.8988764044944,280.6748466257669
ε Orionis (Alnilam),26311,411.5226337448556,411.0429447852761
ζ Orionis (Alnitak),26727,250.62656641604,214.7239263803681
κ Orionis (Saiph),27366,221.2389380530972,221.47239263803684
α Orionis (Betelgeuse),27989,131.06159895150714,197.23926380368098
β Aurigae (Menkalinan),28360,25.176233635448146,25.1840490797546
β Canis Majoris (Mirzam o Murzim),30324,153.13935681470142,153.37423312883436
α Carinae (Canopo),30438,95.87727708533079,94.78527607361964
γ Geminorum (Alhena),31681,32.133676092544974,32.20858895705522
α Canis Majoris (Sirio),32349,2.637061258933045,2.638036809815951
ε Canis Majoris (Adhara),33579,132.10039630118877,124.23312883435584
δ Canis Majoris (Wezen),34444,549.4505494505496,552.1472392638037
α Geminorum (Cástor),36850,15.805278963173691,15.644171779141105
α Canis Minoris (Procyon),37279,3.4973594935823438,3.5000000000000004
β Geminorum (Pólux),37826,10.336985734959683,10.337423312883438
γ Velorum (Suhail o Regor),39953,257.73195876288656,245.39877300613497
ε Carinae (Avior),41037,193.79844961240312,193.2515337423313
δ Velorum,42913,24.449877750611247,24.4478527607362
β Carinae (Miaplacidus),45238,34.08316291751873,34.04907975460123
α Hydrae (Alphard),46390,54.34782608695653,54.29447852760737
α Leonis (Regulus),49669,23.758612497030157,23.619631901840492
γ Leonis (Algieba),50583,38.52080123266563,40.1840490797546
Lalande 21185,54035,2.5484199796126408,2.549079754601227
α Ursae Majoris (Dubhe),54061,37.90750568612583,38.036809815950924
δ Leonis (Duhr o Zosma),54872,17.69285208775655,17.699386503067487
θ Leonis (Chertan),54879,54.46623093681915,50.61349693251534
61 Ursae Majoris,56997,9.541074324968987,9.539877300613497
β Leonis (Denébola),57362,275.4820936639116,11.012269938650308
β Virginis (Zavijava),57757,10.900370612600824,10.920245398773007
γ Ursae Majoris (Phecda),58001,25.64760194921773,25.766871165644172
δ Centauri,59196,121.21212121212123,121.16564417177915
12 Comae Berenices,60351,83.82229673093043,83.86319018404909
α Crucis (Acrux),60718,98.32841691248768,99.69325153374234
γ Crucis (Gacrux),61084,26.961445133459144,26.993865030674847
β Crucis (Becrux o Mimosa),62434,108.10810810810814,85.88957055214725
ε Ursae Majoris (Alioth),62956,24.81389578163771,24.846625766871167
ε Virginis (Vindemiatrix),63608,31.347962382445136,33.74233128834356
α Virginis (Espiga),65474,80.38585209003213,79.75460122699387
R Hydrae,65835,617.2839506172836,130.3680981595092
ζ Virginis (Heze),66249,22.446689113355774,22.453987730061353
η Ursae Majoris (Alkaid o Benetnasch),67301,30.873726458783565,30.98159509202454
β Centauri (Hadar o Agena),68702,161.03059581320443,107.97546012269939
θ Centauri (Menkent),68933,18.684603886397603,18.680981595092025
α Bootis (Arturo),69673,11.254924029262801,11.257668711656443
α Centauri B (Rigil Kentaurus o Toliman),71681,1.3474909718104886,1.3803680981595092
α Centauri A (Rigil Kentaurus o Toliman),71683,1.3474909718104886,1.3803680981595092
α Lupi (Kakkab o Men),71860,168.06722689075622,168.7116564417178
β Ursae Minoris (Kochab),72607,38.774718883288095,39.57055214723927
γ Ursae Minoris (Pherkad),75097,147.27540500736376,147.23926380368098
α Scorpii (Antares),80763,185.1851851851852,168.7116564417178
α Trianguli Australis (Atria),82273,127.38853503184707,127.30061349693253
ε Scorpii (Wei),82396,20.06018054162487,19.938650306748468
λ Scorpii (Shaula),85927,215.51724137931026,174.84662576687117
α Ophiuchi (Rasalhague o Ras Alhague),86032,14.3184421534937,14.32515337423313
θ Scorpii (Sargas o Girtab),86228,83.40283569641367,82.82208588957056
ε Sagittarii (Kaus Australis),90185,44.34589800443457,44.47852760736197
λ Sagittarii (Kaus Borealis),90496,23.696682464454977,23.711656441717793
α Lyrae (Vega),91262,7.756146746296438,7.760736196319019
Ross 154,92403,2.971944840703756,2.9693251533742333
σ Sagittarii (Nunki),92855,68.77579092159561,68.71165644171779
γ Aquilae (Tarazed),97278,141.24293785310738,141.4110429447853
α Aquilae (Altair),97649,5.142974696564493,5.131901840490798
α Pavonis (Peacock),100751,56.179775280898866,56.13496932515338
"α Cygni (Deneb, Arided o Aridif)",102098,990.0990099009888,437.1165644171779
ζ Capricorni (Marakk),105881,122.10012210012206,122.08588957055215
α Gruis (Alnair),109268,31.09452736318408,30.98159509202454
β Canum Venaticorum (Asterion o Chara),109358,534.7593582887699,8.404907975460123
β Gruis (Gruid),112122,52.16484089723525,52.147239263803684
α Piscis Austrini (Fomalhaut),113368,7.6875768757687535,7.668711656441718
